特征选择方式,特征数量,准确度
信息熵,6,0.997987421
fiter,6,0.925283019
信息熵,11,0.997987421
fiter,11,0.995773585
信息熵,16,0.997987421
fiter,16,0.997886792
信息熵,21,0.997886792
fiter,21,0.306012579
信息熵,26,0.99763522
fiter,26,0.994918239
信息熵,31,0.997232704
fiter,31,0.995572327
信息熵,36,0.997484277
fiter,36,0.993459119
信息熵,41,0.996930818
fiter,41,0.71909434
信息熵,46,0.99672956
fiter,46,0.969207547
信息熵,51,0.996779874
fiter,51,0.988578616
信息熵,56,0.996528302
fiter,56,0.932377358
信息熵,61,0.995522013
fiter,61,0.980830189
信息熵,66,0.995874214
fiter,66,0.928654088
信息熵,71,0.995622642
fiter,71,0.95481761
信息熵,76,0.995471698
fiter,76,0.962113208
信息熵,81,0.995522013
fiter,81,0.940125786
信息熵,86,0.995220126
fiter,86,0.991698113
信息熵,91,0.994968553
fiter,91,0.939220126
信息熵,96,0.994918239
fiter,96,0.947169811
信息熵,101,0.995018868
fiter,101,0.934792453
信息熵,106,0.994867925
fiter,106,0.993157233
信息熵,111,0.99481761
fiter,111,0.96563522
信息熵,116,0.994767296
fiter,116,0.994918239
信息熵,121,0.99481761
fiter,121,0.940679245
信息熵,126,0.99481761
fiter,126,0.993710692
信息熵,131,0.994767296
fiter,131,0.958842767
信息熵,136,0.994566038
fiter,136,0.994666667
信息熵,141,0.994465409
fiter,141,0.936553459
信息熵,146,0.994566038
fiter,146,0.936100629
信息熵,151,0.994515723
fiter,151,0.959798742
信息熵,156,0.994465409
fiter,156,0.911849057
信息熵,161,0.99436478
fiter,161,0.952805031
信息熵,166,0.994415094
fiter,166,0.937761006
信息熵,181,0.99481761
fiter,181,0.964427673
信息熵,201,0.994716981
fiter,201,0.934691824
信息熵,221,0.994666667
fiter,221,0.978062893
信息熵,241,0.994515723
fiter,241,0.993257862
